Country,Category,Session,Timezone,Start Date,Start Time,End Date,End Time,Circuit,Title,Country Code
Catalunya,Moto2,Free Practice,Europe/Madrid,24/05/2024,09:50,24/05/2024,10:30,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Free Practice 1,Europe/Madrid,24/05/2024,10:45,24/05/2024,11:30,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto3,Practice 1,Europe/Madrid,24/05/2024,13:15,24/05/2024,13:50,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto2,Practice 1,Europe/Madrid,24/05/2024,14:05,24/05/2024,14:45,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Practice,Europe/Madrid,24/05/2024,15:00,24/05/2024,16:00,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto3,Practice 2,Europe/Madrid,25/05/2024,08:40,25/05/2024,09:10,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto2,Practice 2,Europe/Madrid,25/05/2024,09:25,25/05/2024,09:55,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Free Practice 2,Europe/Madrid,25/05/2024,10:10,25/05/2024,10:40,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Qualifying 1,Europe/Madrid,25/05/2024,10:50,25/05/2024,11:05,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Qualifying 2,Europe/Madrid,25/05/2024,11:15,25/05/2024,11:30,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto3,Qualifying 1,Europe/Madrid,25/05/2024,12:50,25/05/2024,13:05,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto3,Qualifying 2,Europe/Madrid,25/05/2024,13:15,25/05/2024,13:30,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto2,Qualifying 1,Europe/Madrid,25/05/2024,13:45,25/05/2024,14:00,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto2,Qualifying 2,Europe/Madrid,25/05/2024,14:10,25/05/2024,14:25,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Tissot Sprint,Europe/Madrid,25/05/2024,15:00,25/05/2024,15:30,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Warm Up,Europe/Madrid,26/05/2024,09:40,26/05/2024,09:50,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto3,Race,Europe/Madrid,26/05/2024,11:00,26/05/2024,11:30,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,Moto2,Race,Europe/Madrid,26/05/2024,12:15,26/05/2024,12:55,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
Catalunya,MotoGP,Race,Europe/Madrid,26/05/2024,14:00,26/05/2024,14:50,Circuit de Barcelona-Catalunya,Gran Premi Monster Energy de Catalunya,ESP
